"Name"|"RequiredServices"|"CanPauseAndContinue"|"CanShutdown"|"CanStop"|"DisplayName"|"DependentServices"|"MachineName"|"ServiceName"|"ServicesDependedOn"|"ServiceHandle"|"Status"|"ServiceType"|"StartType"|"Site"|"Container"
"AudioEndpointBuilder"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Windows Audio Endpoint Builder"|"System.ServiceProcess.ServiceController[]"|"."|"AudioEndpointBuilder"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"Audiosrv"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Windows Audio"|"System.ServiceProcess.ServiceController[]"|"."|"Audiosrv"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"AxInstSV"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"ActiveX Installer (AxInstSV)"|"System.ServiceProcess.ServiceController[]"|"."|"AxInstSV"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"BDESVC"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"BitLocker Drive Encryption Service"|"System.ServiceProcess.ServiceController[]"|"."|"BDESVC"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"BFE"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Base Filtering Engine"||"."|"BFE"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"BITS"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Background Intelligent Transfer Service"|"System.ServiceProcess.ServiceController[]"|"."|"BITS"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"BrokerInfrastructure"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Background Tasks Infrastructure Service"||"."|"BrokerInfrastructure"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"BthHFSrv"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Bluetooth Handsfree Service"|"System.ServiceProcess.ServiceController[]"|"."|"BthHFSrv"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"bthserv"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Bluetooth Support Service"|"System.ServiceProcess.ServiceController[]"|"."|"bthserv"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"CAF"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Symantec CAF Service"|"System.ServiceProcess.ServiceController[]"|"."|"CAF"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Automatic"||
"camsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Capability Access Manager Service"|"System.ServiceProcess.ServiceController[]"|"."|"camsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"CcmExec"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"SMS Agent Host"|"System.ServiceProcess.ServiceController[]"|"."|"CcmExec"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"CDPSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Connected Devices Platform Service"|"System.ServiceProcess.ServiceController[]"|"."|"CDPSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"CDPUserSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Connected Devices Platform User Service_1dde2e"|"System.ServiceProcess.ServiceController[]"|"."|"CDPUserSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"||"Running"|"240"|"Automatic"||
"CertPropSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Certificate Propagation"|"System.ServiceProcess.ServiceController[]"|"."|"CertPropSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"ClipSVC"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Client License Service (ClipSVC)"|"System.ServiceProcess.ServiceController[]"|"."|"ClipSVC"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"CmRcService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Configuration Manager Remote Control"|"System.ServiceProcess.ServiceController[]"|"."|"CmRcService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"COMSysApp"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"COM+ System Application"|"System.ServiceProcess.ServiceController[]"|"."|"COMSysApp"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"CoreMessagingRegistrar"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"CoreMessaging"|"System.ServiceProcess.ServiceController[]"|"."|"CoreMessagingRegistrar"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"cphs"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Intel(R) Content Protection HECI Service"|"System.ServiceProcess.ServiceController[]"|"."|"cphs"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Manual"||
"cplspcon"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Intel(R) Content Protection HDCP Service"|"System.ServiceProcess.ServiceController[]"|"."|"cplspcon"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"CryptSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Cryptographic Services"|"System.ServiceProcess.ServiceController[]"|"."|"CryptSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"CscService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Offline Files"|"System.ServiceProcess.ServiceController[]"|"."|"CscService"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"DcomLaunch"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"DCOM Server Process Launcher"||"."|"DcomLaunch"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Automatic"||
"defragsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Optimize drives"|"System.ServiceProcess.ServiceController[]"|"."|"defragsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"DeviceAssociationService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Device Association Service"|"System.ServiceProcess.ServiceController[]"|"."|"DeviceAssociationService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"DeviceInstall"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Device Install Service"|"System.ServiceProcess.ServiceController[]"|"."|"DeviceInstall"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"DevicesFlowUserSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"DevicesFlow_1dde2e"|"System.ServiceProcess.ServiceController[]"|"."|"DevicesFlowUserSvc_1dde2e"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"224"|"Manual"||
"DevQueryBroker"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"DevQuery Background Discovery Broker"|"System.ServiceProcess.ServiceController[]"|"."|"DevQueryBroker"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"Dhcp"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"DHCP Client"|"System.ServiceProcess.ServiceController[]"|"."|"Dhcp"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"diagnosticshub.standardcollector.service"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Microsoft (R) Diagnostics Hub Standard Collector Service"|"System.ServiceProcess.ServiceController[]"|"."|"diagnosticshub.standardcollector.service"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"diagsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Diagnostic Execution Service"|"System.ServiceProcess.ServiceController[]"|"."|"diagsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"DiagTrack"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Connected User Experiences and Telemetry"|"System.ServiceProcess.ServiceController[]"|"."|"DiagTrack"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"DmEnrollmentSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Device Management Enrollment Service"|"System.ServiceProcess.ServiceController[]"|"."|"DmEnrollmentSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"dmwappushservice"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"dmwappushsvc"|"System.ServiceProcess.ServiceController[]"|"."|"dmwappushservice"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"Dnscache"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"DNS Client"|"System.ServiceProcess.ServiceController[]"|"."|"Dnscache"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"Dolby DAX2 API Service"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Dolby DAX2 API Service"|"System.ServiceProcess.ServiceController[]"|"."|"Dolby DAX2 API Service"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"DoSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Delivery Optimization"|"System.ServiceProcess.ServiceController[]"|"."|"DoSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"dot3svc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Wired AutoConfig"|"System.ServiceProcess.ServiceController[]"|"."|"dot3svc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"DPS"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Diagnostic Policy Service"|"System.ServiceProcess.ServiceController[]"|"."|"DPS"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"DsmSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Device Setup Manager"|"System.ServiceProcess.ServiceController[]"|"."|"DsmSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"DsSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Data Sharing Service"|"System.ServiceProcess.ServiceController[]"|"."|"DsSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"DusmSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Data Usage"|"System.ServiceProcess.ServiceController[]"|"."|"DusmSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"Eaphost"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Extensible Authentication Protocol"|"System.ServiceProcess.ServiceController[]"|"."|"Eaphost"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"EFS"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Encrypting File System (EFS)"|"System.ServiceProcess.ServiceController[]"|"."|"EFS"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"embeddedmode"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Embedded Mode"|"System.ServiceProcess.ServiceController[]"|"."|"embeddedmode"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"EntAppSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Enterprise App Management Service"|"System.ServiceProcess.ServiceController[]"|"."|"EntAppSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"esifsvc"|"System.ServiceProcess.ServiceController[]"|"True"|"True"|"True"|"Intel(R) Dynamic Platform and Thermal Framework service"|"System.ServiceProcess.ServiceController[]"|"."|"esifsvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"ETDService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Elan Service"|"System.ServiceProcess.ServiceController[]"|"."|"ETDService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"EventLog"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Windows Event Log"|"System.ServiceProcess.ServiceController[]"|"."|"EventLog"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"EventSystem"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"COM+ Event System"|"System.ServiceProcess.ServiceController[]"|"."|"EventSystem"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"Fax"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Fax"|"System.ServiceProcess.ServiceController[]"|"."|"Fax"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"fdPHost"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Function Discovery Provider Host"|"System.ServiceProcess.ServiceController[]"|"."|"fdPHost"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"FDResPub"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Function Discovery Resource Publication"|"System.ServiceProcess.ServiceController[]"|"."|"FDResPub"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"fhsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"File History Service"|"System.ServiceProcess.ServiceController[]"|"."|"fhsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"FontCache"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Windows Font Cache Service"|"System.ServiceProcess.ServiceController[]"|"."|"FontCache"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"FontCache3.0.0.0"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Windows Presentation Foundation Font Cache 3.0.0.0"|"System.ServiceProcess.ServiceController[]"|"."|"FontCache3.0.0.0"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Manual"||
"FrameServer"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Camera Frame Server"|"System.ServiceProcess.ServiceController[]"|"."|"FrameServer"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"gpsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Group Policy Client"|"System.ServiceProcess.ServiceController[]"|"."|"gpsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"GraphicsPerfSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"GraphicsPerfSvc"|"System.ServiceProcess.ServiceController[]"|"."|"GraphicsPerfSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"gupdate"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Google Update Service (gupdate)"|"System.ServiceProcess.ServiceController[]"|"."|"gupdate"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Automatic"||
"gupdatem"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Google Update Service (gupdatem)"|"System.ServiceProcess.ServiceController[]"|"."|"gupdatem"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"hidserv"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Human Interface Device Service"|"System.ServiceProcess.ServiceController[]"|"."|"hidserv"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"HiveStreamingService"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Hive Streaming Service"|"System.ServiceProcess.ServiceController[]"|"."|"HiveStreamingService"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"HomeGroupProvider"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"HomeGroup Provider"|"System.ServiceProcess.ServiceController[]"|"."|"HomeGroupProvider"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"HvHost"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"HV Host Service"|"System.ServiceProcess.ServiceController[]"|"."|"HvHost"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"iaStorAfsService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Intel(R) Optane(TM) Memory Service"|"System.ServiceProcess.ServiceController[]"|"."|"iaStorAfsService"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"IBMPMSVC"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Lenovo PM Service"|"System.ServiceProcess.ServiceController[]"|"."|"IBMPMSVC"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"icssvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Mobile Hotspot Service"|"System.ServiceProcess.ServiceController[]"|"."|"icssvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"igfxCUIService2.0.0.0"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Intel(R) HD Graphics Control Panel Service"|"System.ServiceProcess.ServiceController[]"|"."|"igfxCUIService2.0.0.0"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"IKEEXT"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"IKE and AuthIP IPsec Keying Modules"|"System.ServiceProcess.ServiceController[]"|"."|"IKEEXT"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"InstallService"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Windows Store Install Service"|"System.ServiceProcess.ServiceController[]"|"."|"InstallService"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32OwnProcess"|"Manual"||
"iphlpsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"IP Helper"|"System.ServiceProcess.ServiceController[]"|"."|"iphlpsvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"IpxlatCfgSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"IP Translation Configuration Service"|"System.ServiceProcess.ServiceController[]"|"."|"IpxlatCfgSvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"irmon"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Infrared monitor service"|"System.ServiceProcess.ServiceController[]"|"."|"irmon"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"KeyIso"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"CNG Key Isolation"|"System.ServiceProcess.ServiceController[]"|"."|"KeyIso"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Manual"||
"KtmRm"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"KtmRm for Distributed Transaction Coordinator"|"System.ServiceProcess.ServiceController[]"|"."|"KtmRm"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"LanmanServer"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Server"|"System.ServiceProcess.ServiceController[]"|"."|"LanmanServer"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"LanmanWorkstation"|"System.ServiceProcess.ServiceController[]"|"True"|"False"|"True"|"Workstation"|"System.ServiceProcess.ServiceController[]"|"."|"LanmanWorkstation"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Automatic"||
"LENOVO.MICMUTE"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Lenovo Microphone Mute"|"System.ServiceProcess.ServiceController[]"|"."|"LENOVO.MICMUTE"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"Lenovo.VIRTSCRLSVC"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Lenovo Auto Scroll"|"System.ServiceProcess.ServiceController[]"|"."|"Lenovo.VIRTSCRLSVC"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"lfsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Geolocation Service"|"System.ServiceProcess.ServiceController[]"|"."|"lfsvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"LicenseManager"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"Windows License Manager Service"|"System.ServiceProcess.ServiceController[]"|"."|"LicenseManager"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"LITSSVC"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Lenovo Intelligent Thermal Solution Service"|"System.ServiceProcess.ServiceController[]"|"."|"LITSSVC"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
"lltdsvc"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"False"|"Link-Layer Topology Discovery Mapper"|"System.ServiceProcess.ServiceController[]"|"."|"lltdsvc"|"System.ServiceProcess.ServiceController[]"||"Stopped"|"Win32ShareProcess"|"Manual"||
"lmhosts"|"System.ServiceProcess.ServiceController[]"|"False"|"False"|"True"|"TCP/IP NetBIOS Helper"|"System.ServiceProcess.ServiceController[]"|"."|"lmhosts"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess, Win32ShareProcess"|"Manual"||
"lpasvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Microsoft Policy Platform Local Authority"|"System.ServiceProcess.ServiceController[]"|"."|"lpasvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32ShareProcess"|"Manual"||
"LPlatSvc"|"System.ServiceProcess.ServiceController[]"|"False"|"True"|"True"|"Lenovo Platform Service"|"System.ServiceProcess.ServiceController[]"|"."|"LPlatSvc"|"System.ServiceProcess.ServiceController[]"||"Running"|"Win32OwnProcess"|"Automatic"||
